item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Beans,7/9/2025,500,600,
Carrot,7/9/2025,350,460,
Cabbage,7/9/2025,250,360,
Tomato,7/9/2025,150,200,
Brinjal,7/9/2025,350,600,
Pumpkin,7/9/2025,120,200,
Snake gourd,7/9/2025,200,300,
Green Chilli,7/9/2025,500,800,
Lime,7/9/2025,200,600,
Red Onion (Local),7/9/2025,350,,
Red Onion (lmp),7/9/2025,383,520,
Big Onion (Local),7/9/2025,,,
Big Onion (Imp),7/9/2025,110,150,
Potato (Local),7/9/2025,310,380,
Potato (Imp),7/9/2025,157,200,
Dried Chilli (Imp),7/9/2025,540,760,
Coconut,7/9/2025,130,180,
Coconut oil,7/9/2025,815,866,
Red Dhal,7/9/2025,245,280,
Sugar,7/9/2025,211,230,
Egg,7/9/2025,30,34,
Katta (Imp),7/9/2025,1600,2800,
Sprat (Imp),7/9/2025,850,,
Banana (Sour),7/9/2025,90,160,
Papaw,7/9/2025,150,240,
Pineapple,7/9/2025,,370,
Apple (Imp),7/9/2025,,250,
Orange (Imp),7/9/2025,,250,
Samba,7/9/2025,235,240,
Nadu,7/9/2025,223,230,no
Kekulu (White),7/9/2025,203,220,
Kekulu (Red),7/9/2025,203,220,
Ponni Samba (Imp),7/9/2025,228,,
Nadu,7/9/2025,210,220,no
Kekulu (White) (Imp),7/9/2025,208,210,
Kelawalla,7/9/2025,1400,2520,
Thalapath,7/9/2025,2000,2580,
Balaya,7/9/2025,1000,1260,
Paraw,7/9/2025,1400,,
Salaya,7/9/2025,600,720,
Hurulla,7/9/2025,900,1160,
Linna,7/9/2025,650,840,
Beans,7/8/2025,450,600,
Carrot,7/8/2025,350,460,
Cabbage,7/8/2025,250,360,
Tomato,7/8/2025,120,180,
Brinjal,7/8/2025,400,600,
Pumpkin,7/8/2025,120,200,
Snake gourd,7/8/2025,200,300,
Green Chilli,7/8/2025,500,800,
Lime,7/8/2025,200,600,
Red Onion (Local),7/8/2025,350,,
Red Onion (lmp),7/8/2025,383,520,
Big Onion (Local),7/8/2025,,,
Big Onion (Imp),7/8/2025,110,150,
Potato (Local),7/8/2025,310,380,
Potato (Imp),7/8/2025,157,200,
Dried Chilli (Imp),7/8/2025,550,760,
Coconut,7/8/2025,130,180,
Coconut oil,7/8/2025,815,866,
Red Dhal,7/8/2025,245,280,
Sugar,7/8/2025,211,230,
Egg,7/8/2025,31,34,
Katta (Imp),7/8/2025,1600,2800,
Sprat (Imp),7/8/2025,850,,
Banana (Sour),7/8/2025,90,160,
Papaw,7/8/2025,150,240,
Pineapple,7/8/2025,,390,
Apple (Imp),7/8/2025,,250,
Orange (Imp),7/8/2025,,250,
Samba,7/8/2025,235,240,
Nadu,7/8/2025,223,230,no
Kekulu (White),7/8/2025,203,220,
Kekulu (Red),7/8/2025,203,220,
Ponni Samba (Imp),7/8/2025,228,,
Nadu,7/8/2025,210,220,no
Kekulu (White) (Imp),7/8/2025,208,210,
Kelawalla,7/8/2025,1500,2520,
Thalapath,7/8/2025,2000,2580,
Balaya,7/8/2025,950,1280,
Paraw,7/8/2025,1400,1800,
Salaya,7/8/2025,600,720,
Hurulla,7/8/2025,,,
Linna,7/8/2025,580,780,
Beans,7/7/2025,450,600,
Carrot,7/7/2025,300,480,
Cabbage,7/7/2025,200,360,
Tomato,7/7/2025,120,160,
Brinjal,7/7/2025,400,600,
Pumpkin,7/7/2025,120,200,
Snake gourd,7/7/2025,170,320,
Green Chilli,7/7/2025,450,800,
Lime,7/7/2025,200,600,
Red Onion (Local),7/7/2025,350,,
Red Onion (lmp),7/7/2025,383,520,
Big Onion (Local),7/7/2025,,,
Big Onion (Imp),7/7/2025,110,150,
Potato (Local),7/7/2025,300,380,
Potato (Imp),7/7/2025,157,220,
Dried Chilli (Imp),7/7/2025,550,760,
Coconut,7/7/2025,130,180,
Coconut oil,7/7/2025,815,866,
Red Dhal,7/7/2025,248,280,
Sugar,7/7/2025,213,230,
Egg,7/7/2025,31,34,
Katta (Imp),7/7/2025,1600,2800,
Sprat (Imp),7/7/2025,850,,
Banana (Sour),7/7/2025,100,160,
Papaw,7/7/2025,120,220,
Pineapple,7/7/2025,,400,
Apple (Imp),7/7/2025,,250,
Orange (Imp),7/7/2025,,260,
Samba,7/7/2025,235,240,
Nadu,7/7/2025,223,230,no
Kekulu (White),7/7/2025,203,220,
Kekulu (Red),7/7/2025,203,220,
Ponni Samba (Imp),7/7/2025,228,,
Nadu,7/7/2025,210,220,no
